Mois,Actifs (Prudent),Actifs (Base),Actifs (Optimiste),Revenus (Prudent),Revenus (Base),Revenus (Optimiste),Financements,Charges totales,Trésorerie cumulée (Prudent),Trésorerie cumulée (Base),Trésorerie cumulée (Optimiste)
M1 (jul-26),0,0,0,0,0,0,4000000,1863750,2136250,2136250,2136250
M2 (aoû-26),0,0,0,0,0,0,12000000,2231250,11905000,11905000,11905000
M3 (sep-26),35,50,70,14600,20500,28700,0,3281250,8638350,8644250,8652450
M4 (oct-26),140,200,280,57400,82000,114800,0,4121250,4574500,4605000,4646000
M5 (nov-26),280,400,560,114800,164000,229600,0,2231250,2458050,2537750,2644350
M6 (déc-26),455,650,910,186800,266500,373100,11000000,2336250,11308600,11468000,11681200
M7 (jan-27),630,900,1260,258300,369000,516600,0,2441250,9125650,9395750,9756550
M8 (fév-27),805,1150,1610,329800,471500,660100,0,2546250,6909200,7321000,7870400
M9 (mar-27),980,1400,1960,401800,574000,803600,0,2651250,4659750,5243750,6022750
M10 (avr-27),1155,1650,2310,508450,726000,1016400,0,2651250,2516950,3318500,4387900
M11 (mai-27),1295,1850,2590,570050,814000,1139600,13500000,2651250,13935750,14981250,16376250
M12 (jun-27),1400,2000,2800,616000,880000,1232000,0,2651250,11900500,13210000,14957000
M13 (jul-27),1820,2600,3640,800800,1144000,1601600,0,3176250,9525050,11177750,13382350
M14 (aoû-27),2380,3400,4760,1047200,1496000,2094400,0,3281250,7291000,9392500,12195500
M15 (sep-27),3010,4300,6020,1524400,2092000,2848800,0,3281250,5534150,8203250,11763050
M16 (oct-27),3710,5300,7420,1832400,2532000,3464800,0,3491250,3875300,7244000,11736600
M17 (nov-27),4480,6400,8960,2171200,3016000,4142400,0,3491250,2555250,6768750,12387750
M18 (déc-27),5250,7500,10500,2510000,3500000,4820000,0,3596250,1469000,6672500,13611500
M19 (jan-28),6020,8600,12040,3098800,4234000,5747600,0,3596250,971550,7310250,15762850
M20 (fév-28),6720,9600,13440,3406800,4674000,6363600,0,3701250,677100,8283000,18425200
M21 (mar-28),7350,10500,14700,3684000,5070000,6918000,0,3701250,659850,9651750,21641950
M22 (avr-28),7840,11200,15680,3899600,5378000,7349200,0,3806250,753200,11223500,25184900
M23 (mai-28),8190,11700,16380,4053600,5598000,7657200,0,3806250,1000550,13015250,29035850
M24 (jun-28),8400,12000,16800,4146000,5730000,7842000,0,3806250,1340300,14939000,33071600
